fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.53034,0.01121,0.00883,0.91285,0.00049,2.46353,0.64872,5.44687,0.34888,1.52686,0.01871,0.82107,0.29571,0.0,0.08711,0.5305,0.0,0.0,0.0,0.28285,0.85215,0.0,0.0
0.52699,0.0099,0.00778,0.9578,0.00046,2.20437,0.71393,7.32341,0.441,1.32725,0.015,0.73591,0.35199,0.0,0.11813,0.53002,0.0,0.0,0.0,0.32665,1.0,0.0,0.0
0.52044,0.00927,0.00697,0.94053,0.00051,2.20437,0.70718,6.227,0.47773,1.38442,0.01465,0.71071,0.403,0.0,0.10952,0.48185,0.0,0.0,0.0,0.35395,0.95852,0.0,0.0
0.51974,0.01261,0.01096,0.86644,0.00044,2.65596,0.56466,5.82954,0.34388,1.63643,0.0193,0.72361,0.42131,0.0,0.07264,0.59408,0.0,0.0,0.0,0.28935,1.0,0.0,0.0
0.52192,0.00967,0.00917,0.95911,0.00051,1.94787,0.7116,4.93196,0.34715,1.31482,0.01563,0.9,0.19254,0.0,0.09051,0.59463,0.0,0.0,0.0,0.29781,0.85215,0.0,0.0
0.51201,0.01317,0.00963,0.91468,0.00046,1.67646,0.52974,6.81006,0.25116,1.59137,0.01868,0.76625,0.30175,0.0,0.09769,0.56717,0.0,0.0,0.0,0.31129,0.99435,0.0,0.0
0.54403,0.01128,0.00885,0.86764,0.00055,1.70867,0.56028,5.88524,0.2835,1.03121,0.0087,0.66082,0.30555,0.0,0.09051,0.41001,0.0,0.0,0.0,0.27973,0.90336,0.0,0.0
0.53895,0.00917,0.00679,0.93122,0.00054,2.4678,0.64294,6.60418,0.48429,1.49438,0.01241,0.70075,0.3496,0.0,0.10472,0.50496,0.0,0.0,0.0,0.28322,1.0,0.0,0.0
0.52568,0.00925,0.00731,0.9248,0.0005,2.17684,0.71223,6.53852,0.46667,1.37011,0.01554,0.74947,0.403,0.0,0.10687,0.46831,0.0,0.0,0.0,0.35376,0.95852,0.0,0.0
0.53601,0.01121,0.00797,0.8707,0.00049,2.48839,0.72471,5.82954,0.32802,1.43022,0.02043,0.77619,0.36099,0.0,0.08557,0.47913,0.0,0.0,0.0,0.24713,0.85215,0.0,0.0
0.53862,0.00743,0.00754,0.94846,0.00049,2.96995,0.63789,6.53303,0.47152,1.2175,0.01161,0.62351,0.3496,0.0,0.0959,0.57913,0.0,0.0,0.0,0.28322,0.90687,0.0,0.0
0.53335,0.01231,0.00961,0.89086,0.00054,1.70867,0.58343,6.63325,0.26937,1.07953,0.00838,0.66082,0.30555,0.0,0.08216,0.41001,0.0,0.0,0.0,0.27973,0.81343,0.0,0.0
0.5423,0.00917,0.0079,0.96571,0.00043,2.97821,0.56591,6.60418,0.48429,1.10587,0.01089,0.50973,0.3496,0.0,0.09869,0.41418,0.0,0.0,0.0,0.29855,0.87556,0.0,0.0
0.53513,0.00915,0.00731,0.93742,0.00048,2.24596,0.72591,6.60418,0.49467,1.40588,0.01586,0.72551,0.42827,0.0,0.10836,0.4449,0.0,0.0,0.0,0.34904,0.97541,0.0,0.0
0.54426,0.00983,0.00885,0.88562,0.00062,2.09142,0.56414,6.2876,0.28094,1.12902,0.00703,0.69722,0.27031,0.0,0.08258,0.41001,0.0,0.0,0.0,0.27125,0.6675,0.0,0.0
